course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,tags
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed,31k,decision making and scenarios university of pennsylvania course mixed
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690k,deep learning deeplearning ai specialization intermediate
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44k,democracia y decisiones públicas introducción al análisis de políticas públicas universitat autònoma de barcelona course beginner
Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4.5k,dentistry 101 university of michigan course beginner
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,8.2k,dermatology trip to skin novosibirsk state university course beginner
Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,240k,design thinking for innovation university of virginia course beginner
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17k,design thinking for the greater good innovation in the social sector university of virginia course beginner
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,67k,design and interpretation of clinical trials johns hopkins university course mixed
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,97k,design and make infographics project centered course michigan state university course mixed
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19k,design led strategy design thinking for business strategy and entrepreneurship the university of sydney course intermediate
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,16k,developing apis with google cloud s apigee api platform google cloud specialization intermediate
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,developing applications with google cloud platform google cloud specialization intermediate
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate,4k,developing applications with google cloud platform 日本語版 google cloud specialization intermediate
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8k,developing industrial internet of things university of colorado boulder specialization intermediate
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,41k,developing your musicianship berklee college of music course mixed
Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54k,developing your musicianship berklee college of music specialization beginner
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54k,devenir entrepreneur du changement ticket for change course mixed
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9k,digital advertising strategy university of colorado boulder specialization beginner
Digital Business Models,Lund University,COURSE,4.5,Beginner,21k,digital business models lund university course beginner
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37k,digital manufacturing design technology university at buffalo specialization beginner
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380k,digital marketing university of illinois at urbana champaign specialization beginner
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57k,digital media and marketing strategies university of illinois at urbana champaign course mixed
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,140k,digital product management university of virginia specialization beginner
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58k,digital product management modern fundamentals university of virginia course beginner
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35k,dino 101 dinosaur paleobiology university of alberta course beginner
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40k,discrete optimization the university of melbourne course intermediate
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4k,diseño instruccional aprendizaje activo y pedagogía digital tecnológico de monterrey specialization beginner
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21k,diseño y creación de un emprendimiento social pontificia universidad católica de chile course beginner
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130k,divide and conquer sorting and searching and randomized algorithms stanford university course intermediate
Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150k,dog emotion and cognition duke university course mixed
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k,driving business towards the sustainable development goals erasmus university rotterdam course beginner
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17k,drug commercialization university of california san diego course beginner
Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39k,drug discovery university of california san diego course beginner
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k,dynamic public speaking university of washington specialization beginner
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.1k,emt foundations university of colorado system course beginner
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18k,ecology ecosystem dynamics and conservation american museum of natural history course intermediate
Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110k,econometrics methods and applications erasmus university rotterdam course mixed
Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,83k,economics of money and banking columbia university course mixed
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16k,ecosystem services a method for sustainable development university of geneva course intermediate
Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3.4k,effective compliance programs university of pennsylvania course mixed
Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k,egiptología egyptology universitat autònoma de barcelona course beginner
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1.5k,el abogado del futuro legaltech y la transformación digital del derecho universidad austral course beginner
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57k,elastic google cloud infrastructure scaling and automation google cloud course intermediate
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12k,electric industry operations and markets duke university course beginner
Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k,electronic music production berklee college of music specialization intermediate
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17k,emerging technologies from smartphones to iot to big data yonsei university specialization beginner
"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37k,energy production distribution safety university at buffalo specialization beginner
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14k,engineering health introduction to yoga and physiology new york university course beginner
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23k,engineering project management initiating and planning rice university course beginner
English Composition I,Duke University,COURSE,4.6,Beginner,200k,english composition i duke university course beginner
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230k,english for business and entrepreneurship university of pennsylvania course beginner
English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,760k,english for career development university of pennsylvania course mixed
English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130k,english for journalism university of pennsylvania course mixed
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k,english for research publication purposes moscow institute of physics and technology specialization intermediate
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110k,english for science technology engineering and mathematics university of pennsylvania course beginner
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k,enterprise architecture peter the great st petersburg polytechnic university course beginner
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k,entrepreneurial finance strategy and innovation duke university specialization intermediate
Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k,entrepreneurship university of pennsylvania specialization beginner
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86k,entrepreneurship 1 developing the opportunity university of pennsylvania course mixed
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38k,entrepreneurship 2 launching your start up university of pennsylvania course mixed
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31k,entrepreneurship 3 growth strategies university of pennsylvania course beginner
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k,entrepreneurship strategy from ideation to exit hec paris course beginner
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k,entrepreneurship launching an innovative business university of maryland college park specialization beginner
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45k,epidemics the dynamics of infectious diseases the pennsylvania state university course mixed
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23k,epidemics pandemics and outbreaks university of pittsburgh course mixed
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k,epidemiology for public health imperial college london specialization beginner
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,epidemiology in public health practice johns hopkins university specialization beginner
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k,epidemiology the basic science of public health the university of north carolina at chapel hill course mixed
Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35k,epigenetic control of gene expression the university of melbourne course mixed
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.2k,equine welfare and management university of california davis course beginner
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k,esports university of california irvine specialization beginner
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14k,essential epidemiologic tools for public health practice johns hopkins university course beginner
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68k,essential google cloud infrastructure core services google cloud course intermediate
Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83k,essential google cloud infrastructure foundation google cloud course intermediate
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.1k,essentials in clinical simulations across the health professions the george washington university course intermediate
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k,essentials of corporate finance the university of melbourne specialization intermediate
Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31k,essentials of global health yale university course mixed
Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k,estadística y probabilidad universidad nacional autónoma de méxico course beginner
Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k,evaluación educativa universidad nacional autónoma de méxico specialization beginner
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11k,everyday excel part 1 university of colorado boulder course beginner
Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86k,everyday parenting the abcs of child rearing yale university course beginner
Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240k,excel skills for business macquarie university specialization beginner
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39k,excel skills for business advanced macquarie university course intermediate
Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200k,excel skills for business essentials macquarie university course beginner
Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76k,excel skills for business intermediate i macquarie university course intermediate
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39k,excel skills for business intermediate ii macquarie university course intermediate
Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k,excel to mysql analytic techniques for business duke university specialization beginner
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k,excel vba for creative problem solving university of colorado boulder specialization beginner
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54k,excel vba for creative problem solving part 1 university of colorado boulder course beginner
Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k,executive data science johns hopkins university specialization beginner
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k,explorando la energía sustentable pontificia universidad católica de chile course beginner
Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180k,fashion as design the museum of modern art course beginner
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k,feminism and social justice university of california santa cruz course beginner
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9.7k,fintech law and policy duke university course beginner
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k,fintech finance industry transformation and regulation the hong kong university of science and technology specialization beginner
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k,fintech foundations payments and regulations university of pennsylvania course beginner
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k,finance quantitative modeling for analysts university of pennsylvania specialization beginner
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k,finance for non finance professionals rice university course beginner
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k,finance for non financial managers emory university course intermediate
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k,financial accounting fundamentals university of virginia course beginner
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k,financial acumen for non financial managers university of pennsylvania course beginner
Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100k,financial engineering and risk management part i columbia university course mixed
Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k,financial management university of illinois at urbana champaign specialization intermediate
Financial Markets,Yale University,COURSE,4.8,Beginner,470k,financial markets yale university course beginner
Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k,financial markets and investment strategy indian school of business specialization beginner
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,financial reporting university of illinois at urbana champaign specialization intermediate
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k,financial technology fintech innovations university of michigan specialization beginner
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24k,financing and investing in infrastructure università bocconi course mixed
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k,finanzas corporativas universidad nacional autónoma de méxico specialization intermediate
Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k,finanzas personales universidad nacional autónoma de méxico course mixed
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k,finding purpose and meaning in life living for what matters most university of michigan course beginner
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k,fintech foundations applications of financial technology university of pennsylvania specialization beginner
First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k,first step korean yonsei university course beginner
Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57k,food beverage management università bocconi course mixed
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42k,forensic accounting and fraud examination west virginia university course mixed
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k,formulación y evaluación de proyectos complejos universidad de los andes course intermediate
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k,foundational finance for strategic decision making university of michigan specialization beginner
Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k,foundations of business strategy university of virginia course beginner
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k,foundations of everyday leadership university of illinois at urbana champaign course mixed
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,foundations of global health johns hopkins university specialization beginner
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k,foundations of management iese business school specialization beginner
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k,foundations of marketing analytics emory university specialization intermediate
Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k,foundations of positive psychology university of pennsylvania specialization beginner
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k,foundations of public health practice imperial college london specialization beginner
From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26k,from data to insights with google cloud platform google cloud specialization beginner
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52k,from the big bang to dark energy the university of tokyo course beginner
Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k,front end web development with react the hong kong university of science and technology course intermediate
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k,front end web ui frameworks and tools bootstrap 4 the hong kong university of science and technology course intermediate
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k,full stack web and multiplatform mobile app development the hong kong university of science and technology specialization intermediate
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k,full stack web development with react the hong kong university of science and technology specialization intermediate
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k,functional programming principles in scala école polytechnique fédérale de lausanne course intermediate
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k,functional programming in scala école polytechnique fédérale de lausanne specialization intermediate
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30k,fundamental neuroscience for neuroimaging johns hopkins university course beginner
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k,fundamentals of accounting university of illinois at urbana champaign specialization beginner
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k,fundamentals of computing rice university specialization beginner
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49k,fundamentals of engineering exam review georgia institute of technology course mixed
Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86k,fundamentals of gis university of california davis course beginner
Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290k,fundamentals of graphic design california institute of the arts course beginner
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20k,fundamentals of immunology rice university specialization intermediate
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18k,fundamentals of immunology innate immunity and b cell function rice university course intermediate
Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k,fundamentals of music theory the university of edinburgh course beginner
Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120k,fundamentals of project planning and management university of virginia course beginner
Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110k,fundamentals of quantitative modeling university of pennsylvania course mixed
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22k,fundamentals of reinforcement learning university of alberta course intermediate
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81k,fundamentals of visualization with tableau university of california davis course beginner
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k,fundamentos empresariales university of pennsylvania specialization beginner
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k,fundamentos estratégicos empresariales universidad nacional autónoma de méxico specialization beginner
Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k,fundamentos de excel para negocios universidad austral course beginner
Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k,fundamentos de finanzas empresariales universidad de los andes course beginner
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k,fundamentos de la escritura tecnológico de monterrey course beginner
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k,fundraising and development university of california davis specialization beginner
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k,futures thinking institute for the future specialization beginner
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10k,g suite administration google cloud specialization beginner
"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140k,gis mapping and spatial analysis university of toronto specialization beginner
Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k,game design and development michigan state university specialization intermediate
Game Theory,Stanford University,COURSE,4.6,Beginner,260k,game theory stanford university course beginner
Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110k,gamification university of pennsylvania course mixed
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14k,gender and sexuality diversity and inclusion in the workplace university of pittsburgh course beginner
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k,genomic data science johns hopkins university specialization intermediate
Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k,geographic information systems gis university of california davis specialization beginner
Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19k,geopolitics of europe sciences po course mixed
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34k,geopolítica y gobernanza global riesgos y oportunidades esade business and law school course mixed
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k,gestión de organizaciones efectivas pontificia universidad católica de chile course mixed
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k,get interactive practical teaching with technology bloomsbury learning exchange course beginner
Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59k,getting started with music theory michigan state university course beginner
Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73k,getting started with aws machine learning amazon web services course intermediate
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59k,getting started with go university of california irvine course intermediate
Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75k,getting started with google kubernetes engine google cloud course intermediate
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18k,getting started with google sheets google cloud course beginner
Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22k,getting started with sas programming sas course beginner
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79k,global diplomacy diplomacy in the modern world soas university of london course mixed
Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29k,global diplomacy the united nations in the world soas university of london course beginner
Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10k,global energy and climate policy soas university of london course beginner
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k,global environmental management technical university of denmark dtu course intermediate
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37k,global financial markets and instruments rice university course mixed
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3.6k,global financing solutions by edhec and société générale edhec business school course intermediate
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7.6k,global trends for business and society university of pennsylvania course mixed
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k,globalization economic growth and stability ie business school specialization intermediate
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k,good with words writing and editing university of michigan specialization beginner
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k,google cloud platform big data and machine learning fundamentals google cloud course intermediate
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36k,google cloud platform fundamentals for aws professionals google cloud course intermediate
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k,google it automation with python google professional certificate beginner
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k,google it support google professional certificate beginner
Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430k,grammar and punctuation university of california irvine course mixed
Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k,graphic design elements for non designers university of colorado boulder specialization beginner
Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260k,greek and roman mythology university of pennsylvania course mixed
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56k,greening the economy sustainable cities lund university course beginner
Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210k,guitar for beginners berklee college of music course mixed
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62k,gut check exploring your microbiome university of california san diego course mixed
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240k,html css and javascript for web developers johns hopkins university course mixed
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k,habilidades gerenciales universidad nacional autónoma de méxico specialization beginner
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62k,hacia una práctica constructivista en el aula pontificia universidad católica de chile course mixed
Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k,hardware description languages for fpga design university of colorado boulder course intermediate
Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39k,healing with the arts university of florida course mixed
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k,health informatics johns hopkins university specialization beginner
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k,health information literacy for data analytics university of california davis specialization intermediate
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k,healthcare law university of pennsylvania specialization intermediate
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k,healthcare marketplace university of minnesota specialization beginner
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k,healthcare organization operations rutgers the state university of new jersey specialization beginner
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46k,high performance collaboration leadership teamwork and negotiation northwestern university course mixed
Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k,homeland security and cybersecurity university of colorado system specialization beginner
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k,hotel management distribution revenue and demand management essec business school specialization beginner
How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k,how things work an introduction to physics university of virginia course intermediate
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140k,how to create a website in a weekend project centered course the state university of new york course mixed
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k,how to start your own business michigan state university specialization beginner
Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k,human resource management hr for people managers university of minnesota specialization beginner
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k,ibm ai engineering ibm professional certificate intermediate
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k,ibm ai enterprise workflow ibm specialization advanced
